batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate
1,20,1-20,30720,-5.40614183505387,0.513551095905022,672.85,0.0
2,40,21-40,92160,8.483857462027904,3.3894740014483498,1565.45,0.0
3,60,41-60,153600,22.228336820523488,6.224521127267642,2190.65,0.0
4,80,61-80,153600,25.47447412515518,6.891584688236561,1579.45,0.0
5,100,81-100,184320,26.70970519652395,7.225888792258101,1658.5,0.0
6,120,101-120,215040,30.295160603966373,7.860540706896657,1299.85,0.0
7,140,121-140,245760,24.903908718778204,6.805384464951054,1174.6,0.0
8,160,141-160,276480,29.581224045909305,7.7673961563578064,1214.9,0.0
9,180,161-180,307200,30.145353668126443,7.9369363238044315,1358.95,0.0
10,200,181-200,337920,54.97564528025299,12.831578092798912,1605.35,0.0
11,220,201-220,368640,57.26181954786781,13.344375556132928,1745.45,0.0
12,240,221-240,399360,38.79517263707142,9.559187256323657,1555.55,0.0
13,260,241-260,460800,67.4238839176368,15.336054633190617,1990.6,0.0
14,280,261-280,491520,69.26640776933024,15.667697821122156,2137.1,0.0
15,300,281-300,552960,68.49867147787286,15.531737297350423,1910.15,0.0
16,320,301-320,614400,160.16412637087458,33.934732417790116,3950.15,0.0
17,340,321-340,706560,154.61296089241324,32.73665443302865,3318.9,0.0
18,360,341-360,768000,182.99597330863622,38.645929165864366,3986.05,0.0
19,380,361-380,829440,125.48338293121242,27.04141856415136,2641.0,0.0
20,400,381-400,890880,154.40063266766745,32.82169627085803,3169.1,0.0
21,420,401-420,983040,173.4403807856591,35.97331498244746,3399.05,5.0
22,440,421-440,1044480,205.67789848995034,43.05408307150271,3758.4,0.0
23,460,441-460,1105920,243.31915714249732,50.338946417048405,4010.25,0.0
24,480,461-480,1198080,260.7350660726667,51.90566746114174,4023.45,20.0
25,500,481-500,1259520,160.6858224413949,33.64297475505996,2892.4,5.0
26,520,501-520,1320960,228.18787264147818,45.99309860755893,3527.8,15.0
27,540,521-540,1382400,100.53544975122556,22.22433094589017,2194.05,0.0
28,560,541-560,1413120,161.1182814858957,33.65785975229965,2982.15,5.0
29,580,561-580,1474560,116.64232719205938,25.44972925566986,2351.55,0.0
30,600,581-600,1536000,133.70012493718974,28.64965954023492,2255.3,0.0
31,620,601-620,1566720,150.4298134459291,32.05071691358873,2552.05,0.0
32,640,621-640,1628160,182.0748227942019,38.30760748655701,3009.65,0.0
33,660,641-660,1689600,163.1397033393011,34.742203496002126,2847.2,0.0
34,680,661-680,1751040,171.3776325898954,35.15209982818311,2655.05,10.0
35,700,681-700,1781760,175.07631654820608,35.935457677546395,2884.1,10.0
36,720,701-720,1843200,179.4645780328592,37.27776965873634,2748.7,5.0
37,740,721-740,1935360,172.6250232110557,35.6161974487398,3001.6,10.0
38,760,741-760,1966080,196.71336905428038,40.90551684777083,3215.8,5.0
39,780,761-780,2058240,225.04632645028155,45.85385497353126,3517.15,10.0
40,800,781-800,2088960,170.2578482576323,34.83258604442952,2458.85,10.0
41,820,801-820,2150400,235.1844481370228,47.36666651082306,3366.85,15.0
42,840,821-840,2242560,198.86425219794629,41.718462493088914,3167.1,0.0
43,860,841-860,2273280,204.196297518856,41.776587605896495,3161.65,10.0
44,880,861-880,2334720,189.45403534116076,38.33581988198519,2901.85,15.0
45,900,881-900,2396160,198.56037716586204,40.80446692460337,3196.7,10.0
46,920,901-920,2488320,195.13719675160547,40.02305559761305,3093.0,10.0
47,940,921-940,2519040,166.75899078086803,35.063904569717074,2758.0,5.0
48,960,941-960,2580480,156.6795594595093,32.41271104871562,2522.0,10.0
49,980,961-980,2611200,151.07503654720546,31.771038785676673,2499.35,5.0
50,1000,981-1000,2672640,195.40696211076212,40.584736567982944,2737.7,5.0
51,1020,1001-1020,2734080,195.99515607047047,40.69120060936874,2884.5,5.0
52,1040,1021-1040,2826240,232.0802646803849,47.3500933579989,3245.8,10.0
53,1060,1041-1060,2856960,225.11981126291016,45.47368376701118,3087.05,15.0
54,1080,1061-1080,2918400,202.6537018907642,42.74585933404368,2871.2,0.0
55,1100,1081-1100,3010560,298.45307043749807,59.57753171659401,3857.15,20.0
56,1120,1101-1120,3102720,260.3024646731196,52.45328011113109,3350.5,15.0
57,1140,1121-1140,3164160,321.40416066191926,63.061685051327785,4020.45,30.0
58,1160,1141-1160,3225600,322.3892590565873,63.06514868096851,3740.2,30.0
59,1180,1161-1180,3287040,220.2344479152144,44.860497975902504,2713.45,10.0
60,1200,1181-1200,3379200,352.46766500543873,68.05295975376526,4071.5,40.0
61,1220,1201-1220,3440640,330.0467585327457,65.26578300116658,3931.05,25.0
62,1240,1221-1240,3502080,194.702880569783,40.360899878653804,2579.2,5.0
63,1260,1241-1260,3594240,352.8931283501464,68.78459153511609,4189.0,35.0
64,1280,1261-1280,3655680,338.81803465878437,65.27666752744929,3923.05,40.0
65,1300,1281-1300,3747840,317.45961782023875,62.15782430893795,3799.35,30.0
66,1320,1301-1320,3809280,309.97070361692266,60.059738176272425,3549.35,35.0
67,1340,1321-1340,3870720,313.21129336113177,61.294759606897266,3713.6,30.0
