iteration,global_step,last_episode,num_batches,mean_return,mean_distance,mean_survival,mean_success_rate,current_phase,random_percentage,bump_ratio
5,153600,120,6,8.504483858438816,3.4141194068166048,1070.2166666666667,0.0,1,1.0,0.5
10,307200,280,8,28.415979608578013,7.455931132383626,810.40625,0.0,1,1.0,0.5
15,460800,440,8,37.70685308451239,9.355251846108555,916.2875,0.0,1,1.0,0.5
20,614400,575,6,47.49230086509107,11.305684807228445,899.5333333333333,0.0,3,1.0,0.75
25,768000,715,7,58.60802836407712,13.56260624858306,1132.8714285714286,0.0,3,1.0,0.75
30,921600,835,6,76.10525495407087,17.06453492752902,1276.2416666666666,0.0,3,1.0,0.75
