Episode     83 | Return:     0.7 | Distance:   1.79m | Steps: 2250 | no_progress
Episode     84 | Return:    17.3 | Distance:   5.21m | Steps:  605 | flipped
Episode     85 | Return:     0.7 | Distance:   1.78m | Steps: 2250 | no_progress
Episode     86 | Return:    43.9 | Distance:  10.56m | Steps: 2622 | fell
Episode     87 | Return:    17.3 | Distance:   5.20m | Steps:  457 | flipped
Episode     88 | Return:    17.2 | Distance:   5.19m | Steps: 1548 | flipped
Episode     89 | Return:    30.5 | Distance:   7.84m | Steps: 1321 | flipped
Episode     90 | Return:    16.5 | Distance:   5.07m | Steps:  724 | fell
Episode     91 | Return:    45.0 | Distance:  10.75m | Steps: 1684 | flipped
Episode     92 | Return:    17.9 | Distance:   5.22m | Steps: 2250 | no_progress
Episode     93 | Return:    16.4 | Distance:   5.05m | Steps:  720 | fell
Episode     94 | Return:    18.1 | Distance:   5.37m | Steps:  811 | flipped
Episode     95 | Return:     9.9 | Distance:   3.67m | Steps: 3750 | no_progress
Episode     96 | Return:    18.1 | Distance:   5.46m | Steps: 2250 | no_progress
Episode     97 | Return:    17.5 | Distance:   5.25m | Steps:  923 | flipped
Episode     98 | Return:    17.3 | Distance:   5.22m | Steps:  658 | flipped
Episode     99 | Return:    16.5 | Distance:   5.08m | Steps:  547 | fell
Episode    100 | Return:    17.0 | Distance:   5.16m | Steps:  519 | flipped
Episode    101 | Return:    17.3 | Distance:   5.22m | Steps:  787 | flipped
Episode    102 | Return:    27.2 | Distance:   7.20m | Steps: 1314 | flipped
Episode    103 | Return:    45.2 | Distance:  10.76m | Steps: 3750 | no_progress
Episode    104 | Return:    16.8 | Distance:   5.15m | Steps:  859 | fell
Episode    105 | Return:    16.8 | Distance:   5.13m | Steps:  772 | fell
Episode    106 | Return:    29.5 | Distance:   7.68m | Steps: 1192 | fell
Episode    107 | Return:    16.7 | Distance:   5.10m | Steps:  518 | fell
Episode    108 | Return:    27.0 | Distance:   7.16m | Steps:  632 | flipped
Episode    109 | Return:    -2.6 | Distance:   1.14m | Steps: 1500 | no_progress
Episode    110 | Return:    29.6 | Distance:   7.69m | Steps: 1006 | flipped
Episode    111 | Return:    33.0 | Distance:   8.34m | Steps: 3750 | no_progress
Episode    112 | Return:    27.4 | Distance:   7.22m | Steps: 1104 | flipped
Episode    113 | Return:    39.7 | Distance:   9.74m | Steps: 1743 | flipped
Episode    114 | Return:     3.8 | Distance:   2.39m | Steps: 1500 | no_progress
Episode    115 | Return:    17.9 | Distance:   5.26m | Steps: 3000 | no_progress
Episode    116 | Return:    83.9 | Distance:  18.62m | Steps: 3116 | fell
Episode    117 | Return:    29.2 | Distance:   7.62m | Steps:  696 | fell
Episode    118 | Return:    18.0 | Distance:   5.34m | Steps:  900 | flipped
Episode    119 | Return:    16.9 | Distance:   5.14m | Steps:  388 | fell
Episode    120 | Return:    17.3 | Distance:   5.21m | Steps:  618 | flipped
Episode    121 | Return:    17.2 | Distance:   5.22m | Steps:  949 | flipped
Episode    122 | Return:    16.4 | Distance:   5.05m | Steps:  382 | fell
Episode    123 | Return:    51.4 | Distance:  12.04m | Steps: 1964 | fell
Episode    124 | Return:     3.1 | Distance:   2.21m | Steps: 1500 | no_progress
Episode    125 | Return:     1.2 | Distance:   1.87m | Steps: 2250 | no_progress
Episode    126 | Return:    16.5 | Distance:   5.06m | Steps:  796 | fell
Episode    127 | Return:    16.7 | Distance:   5.10m | Steps:  680 | fell
Episode    128 | Return:    19.6 | Distance:   5.68m | Steps: 2250 | no_progress
Episode    129 | Return:    18.5 | Distance:   5.43m | Steps: 1500 | no_progress
Episode    130 | Return:    12.4 | Distance:   4.13m | Steps: 1500 | no_progress
Episode    131 | Return:    17.6 | Distance:   5.28m | Steps:  798 | flipped
Episode    132 | Return:    16.5 | Distance:   5.06m | Steps:  586 | fell
Episode    133 | Return:    17.8 | Distance:   5.36m | Steps: 1185 | flipped
Episode    134 | Return:    40.0 | Distance:   9.76m | Steps: 1568 | flipped
Episode    135 | Return:    17.2 | Distance:   5.21m | Steps:  512 | fell
Episode    136 | Return:    26.3 | Distance:   7.03m | Steps:  737 | fell
Episode    137 | Return:    30.1 | Distance:   7.82m | Steps: 1172 | flipped
Episode    138 | Return:    49.6 | Distance:  11.68m | Steps: 1110 | flipped
Episode    139 | Return:    17.3 | Distance:   5.22m | Steps:  784 | flipped
Episode    140 | Return:    18.5 | Distance:   5.45m | Steps: 1500 | no_progress
Episode    141 | Return:    39.2 | Distance:   9.62m | Steps: 1127 | fell
Episode    142 | Return:    27.0 | Distance:   7.16m | Steps:  647 | flipped
Episode    143 | Return:    17.1 | Distance:   5.18m | Steps:  474 | flipped
Episode    144 | Return:    30.5 | Distance:   7.84m | Steps: 1096 | flipped
Episode    145 | Return:    30.5 | Distance:   7.84m | Steps:  750 | flipped
Episode    146 | Return:    17.9 | Distance:   5.33m | Steps:  655 | flipped
Episode    147 | Return:    16.7 | Distance:   5.14m | Steps:  960 | fell
Episode    148 | Return:    17.1 | Distance:   5.18m | Steps:  629 | flipped
Episode    149 | Return:    17.1 | Distance:   5.17m | Steps:  411 | flipped
Episode    150 | Return:    26.4 | Distance:   7.09m | Steps:  831 | fell
Episode    151 | Return:    17.4 | Distance:   5.22m | Steps:  471 | flipped
Episode    152 | Return:    16.4 | Distance:   5.03m | Steps:  428 | fell
Episode    153 | Return:    17.1 | Distance:   5.17m | Steps:  551 | flipped
Episode    154 | Return:    17.0 | Distance:   5.16m | Steps:  509 | flipped
Episode    155 | Return:    27.0 | Distance:   7.17m | Steps:  959 | flipped
Episode    156 | Return:    17.3 | Distance:   5.22m | Steps:  487 | flipped
Episode    157 | Return:    27.0 | Distance:   7.16m | Steps:  973 | flipped
Episode    158 | Return:    49.3 | Distance:  11.64m | Steps: 1030 | fell
Episode    159 | Return:    29.6 | Distance:   7.69m | Steps: 1137 | flipped
Episode    160 | Return:    17.2 | Distance:   5.21m | Steps:  490 | flipped
Episode    161 | Return:    28.9 | Distance:   7.54m | Steps:  667 | fell
Episode    162 | Return:    17.7 | Distance:   5.35m | Steps:  935 | flipped
Episode    163 | Return:    26.0 | Distance:   7.06m | Steps: 2051 | fell
Episode    164 | Return:    26.6 | Distance:   7.03m | Steps: 1500 | no_progress
Episode    165 | Return:    46.7 | Distance:  11.05m | Steps: 2250 | no_progress
Episode    166 | Return:    47.0 | Distance:  11.16m | Steps: 1105 | fell
Episode    167 | Return:    16.4 | Distance:   5.04m | Steps:  365 | fell
Episode    168 | Return:    17.7 | Distance:   5.35m | Steps:  847 | flipped
Episode    169 | Return:    17.1 | Distance:   5.18m | Steps:  593 | flipped
Episode    170 | Return:    17.1 | Distance:   5.17m | Steps:  497 | flipped
Episode    171 | Return:    18.2 | Distance:   5.43m | Steps: 1500 | no_progress
Episode    172 | Return:    96.5 | Distance:  21.10m | Steps: 2834 | fell
Episode    173 | Return:    16.4 | Distance:   5.06m | Steps:  454 | fell
Episode    174 | Return:    17.4 | Distance:   5.23m | Steps:  501 | flipped
Episode    175 | Return:    17.0 | Distance:   5.16m | Steps:  512 | flipped
Episode    176 | Return:    16.7 | Distance:   5.11m | Steps:  476 | fell
Episode    177 | Return:    42.4 | Distance:  10.32m | Steps: 3000 | no_progress
Episode    178 | Return:    27.0 | Distance:   7.17m | Steps:  573 | fell
Episode    179 | Return:    26.4 | Distance:   7.07m | Steps:  780 | fell
Episode    180 | Return:    17.4 | Distance:   5.22m | Steps:  482 | flipped
Episode    181 | Return:    18.6 | Distance:   5.41m | Steps: 1500 | no_progress
Episode    182 | Return:    42.3 | Distance:  10.22m | Steps:  851 | flipped
Episode    183 | Return:    16.6 | Distance:   5.10m | Steps:  355 | fell
Episode    184 | Return:    28.7 | Distance:   7.61m | Steps: 1286 | fell
Episode    185 | Return:    41.4 | Distance:  10.03m | Steps:  913 | fell
Episode    186 | Return:    18.0 | Distance:   5.34m | Steps:  657 | flipped
Episode    187 | Return:    17.1 | Distance:   5.17m | Steps:  297 | flipped
Episode    188 | Return:    52.2 | Distance:  12.20m | Steps: 1259 | flipped
Episode    189 | Return:    27.9 | Distance:   7.33m | Steps:  895 | flipped
Episode    190 | Return:   128.5 | Distance:  27.67m | Steps: 4553 | flipped
Episode    191 | Return:    20.7 | Distance:   5.87m | Steps: 1500 | no_progress
Episode    192 | Return:    17.3 | Distance:   5.20m | Steps:  497 | flipped
Episode    193 | Return:    18.6 | Distance:   5.40m | Steps: 1500 | no_progress
Episode    194 | Return:    71.8 | Distance:  16.15m | Steps: 1885 | fell
Episode    195 | Return:    19.4 | Distance:   5.67m | Steps: 1500 | no_progress
Episode    196 | Return:    59.1 | Distance:  13.62m | Steps: 1327 | fell
Episode    197 | Return:    17.2 | Distance:   5.20m | Steps:  364 | flipped
Episode    198 | Return:    29.4 | Distance:   7.65m | Steps:  423 | fell
Episode    199 | Return:    19.4 | Distance:   5.62m | Steps: 1500 | no_progress
Episode    200 | Return:    16.4 | Distance:   5.04m | Steps:  512 | fell
Episode    201 | Return:    16.5 | Distance:   5.06m | Steps:  499 | fell
Episode    202 | Return:    17.3 | Distance:   5.19m | Steps:  737 | flipped
Episode    203 | Return:    17.3 | Distance:   5.20m | Steps:  419 | flipped
Episode    204 | Return:    16.7 | Distance:   5.11m | Steps:  398 | fell
Episode    205 | Return:    56.6 | Distance:  13.09m | Steps: 1211 | fell
Episode    206 | Return:    16.6 | Distance:   5.09m | Steps:  313 | fell
Episode    207 | Return:    17.7 | Distance:   5.30m | Steps:  534 | flipped
Episode    208 | Return:    41.8 | Distance:  10.12m | Steps:  679 | fell
Episode    209 | Return:    16.8 | Distance:   5.12m | Steps:  412 | fell
Episode    210 | Return:    27.1 | Distance:   7.18m | Steps:  599 | flipped
Episode    211 | Return:    44.0 | Distance:  10.56m | Steps: 1018 | fell
Episode    212 | Return:    19.6 | Distance:   5.74m | Steps: 1500 | no_progress
Episode    213 | Return:    39.0 | Distance:   9.57m | Steps: 1038 | fell
Episode    214 | Return:    28.0 | Distance:   7.34m | Steps:  800 | flipped
Episode    215 | Return:    80.5 | Distance:  18.09m | Steps: 3269 | fell
Episode    216 | Return:    17.2 | Distance:   5.20m | Steps:  352 | flipped
Episode    217 | Return:    29.8 | Distance:   7.76m | Steps: 1103 | flipped
