======================================================================
TRAINING SESSION - 2026-02-09 17:06:38
======================================================================
Episode   50: fell        | Steps: 2949 | Distance:   9.60m | Reward:   39.2 | Corridor: holes+50%bumps+random | Seed: 330
Episode   51: fell        | Steps:  953 | Distance:   5.05m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 9967
Episode   52: no_progress | Steps: 3750 | Distance:   5.61m | Reward:   19.0 | Corridor: holes+50%bumps+random | Seed: 6410
Episode   53: no_progress | Steps: 3750 | Distance:   5.48m | Reward:   18.0 | Corridor: holes+50%bumps+random | Seed: 5496
Episode   54: no_progress | Steps: 3000 | Distance:   5.95m | Reward:   20.5 | Corridor: holes+50%bumps+random | Seed: 9441
Episode   55: no_progress | Steps: 2250 | Distance:   5.83m | Reward:   20.0 | Corridor: holes+50%bumps+random | Seed: 2438
Episode   56: no_progress | Steps: 3000 | Distance:   5.65m | Reward:   19.4 | Corridor: holes+50%bumps+random | Seed: 5289
Episode   57: fell        | Steps: 1034 | Distance:   5.04m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 1478
Episode   58: fell        | Steps:  726 | Distance:   5.04m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 8998
Episode   59: flipped     | Steps:  803 | Distance:   5.23m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 9177
Episode   60: flipped     | Steps: 1389 | Distance:   7.19m | Reward:   27.1 | Corridor: holes+50%bumps+random | Seed: 9090
Episode   61: flipped     | Steps: 1016 | Distance:   5.34m | Reward:   18.0 | Corridor: holes+50%bumps+random | Seed: 1939
Episode   62: flipped     | Steps: 1132 | Distance:   5.23m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 9334
Episode   63: flipped     | Steps:  793 | Distance:   5.23m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 6851
Episode   64: flipped     | Steps: 1511 | Distance:   7.71m | Reward:   29.8 | Corridor: holes+50%bumps+random | Seed: 7675
Episode   65: flipped     | Steps: 1242 | Distance:   5.32m | Reward:   17.9 | Corridor: holes+50%bumps+random | Seed: 1962
Episode   66: flipped     | Steps:  782 | Distance:   5.16m | Reward:   17.0 | Corridor: holes+50%bumps+random | Seed: 7154
Episode   67: no_progress | Steps: 3750 | Distance:   7.73m | Reward:   29.1 | Corridor: holes+50%bumps+random | Seed: 3222
Episode   68: fell        | Steps: 1143 | Distance:   7.56m | Reward:   28.9 | Corridor: holes+50%bumps+random | Seed: 5569
Episode   69: flipped     | Steps: 1374 | Distance:   7.70m | Reward:   29.7 | Corridor: holes+50%bumps+random | Seed: 5412
Episode   70: flipped     | Steps:  833 | Distance:   5.23m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 8225
Episode   71: fell        | Steps:  660 | Distance:   5.08m | Reward:   16.6 | Corridor: holes+50%bumps+random | Seed: 6015
Episode   72: flipped     | Steps:  926 | Distance:   5.34m | Reward:   18.0 | Corridor: holes+50%bumps+random | Seed: 1644
Episode   73: fell        | Steps: 4397 | Distance:  15.06m | Reward:   66.5 | Corridor: holes+50%bumps+random | Seed: 3335
Episode   74: flipped     | Steps: 4736 | Distance:  15.70m | Reward:   69.5 | Corridor: holes+50%bumps+random | Seed: 7641
Episode   75: no_progress | Steps: 2250 | Distance:   5.91m | Reward:   19.2 | Corridor: holes+50%bumps+random | Seed: 3048
Episode   76: flipped     | Steps:  528 | Distance:   5.17m | Reward:   17.0 | Corridor: holes+50%bumps+random | Seed: 5253
Episode   77: fell        | Steps:  595 | Distance:   5.05m | Reward:   16.5 | Corridor: holes+50%bumps+random | Seed: 6706
Episode   78: fell        | Steps: 1032 | Distance:   7.45m | Reward:   28.6 | Corridor: holes+50%bumps+random | Seed: 8573
Episode   79: no_progress | Steps: 2250 | Distance:   5.83m | Reward:   18.8 | Corridor: holes+50%bumps+random | Seed: 6541
Episode   80: fell        | Steps:  639 | Distance:   5.03m | Reward:   16.3 | Corridor: holes+50%bumps+random | Seed: 7554
Episode   81: flipped     | Steps: 1175 | Distance:   7.67m | Reward:   29.6 | Corridor: holes+50%bumps+random | Seed: 6017
Episode   82: no_progress | Steps: 2250 | Distance:   5.48m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 3870
Episode   83: no_progress | Steps: 2250 | Distance:   5.54m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 7065
Episode   84: fell        | Steps: 1378 | Distance:  10.09m | Reward:   41.6 | Corridor: holes+50%bumps+random | Seed: 703
Episode   85: no_progress | Steps: 2250 | Distance:   5.83m | Reward:   18.8 | Corridor: holes+50%bumps+random | Seed: 1533
Episode   86: no_progress | Steps: 1500 | Distance:   5.84m | Reward:   20.3 | Corridor: holes+50%bumps+random | Seed: 4180
Episode   87: fell        | Steps:  674 | Distance:   5.04m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 193
Episode   88: fell        | Steps:  993 | Distance:   7.10m | Reward:   26.6 | Corridor: holes+50%bumps+random | Seed: 1532
Episode   89: flipped     | Steps:  716 | Distance:   5.16m | Reward:   17.0 | Corridor: holes+50%bumps+random | Seed: 1085
Episode   90: no_progress | Steps: 5250 | Distance:  11.91m | Reward:   47.1 | Corridor: holes+50%bumps+random | Seed: 9964
Episode   91: fell        | Steps:  673 | Distance:   5.05m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 3022
