
======================================================================
TRAINING SESSION - 2026-02-08 18:18:28
======================================================================
Episode  50: no_progress | Steps:  500 | Distance:  0.82m | Reward:  -3.7 | Corridor: holes+100%bumps-random | Seed: 459
Episode  51: no_progress | Steps:  500 | Distance:  0.62m | Reward:  -4.6 | Corridor: holes+100%bumps-random | Seed: 289
Episode  52: no_progress | Steps:  500 | Distance:  0.82m | Reward:  -3.6 | Corridor: holes+100%bumps-random | Seed: 1288
Episode  53: no_progress | Steps:  500 | Distance:  1.05m | Reward:  -2.5 | Corridor: holes+100%bumps-random | Seed: 5842
Episode  54: no_progress | Steps:  500 | Distance:  1.07m | Reward:  -2.4 | Corridor: holes+100%bumps-random | Seed: 7429
Episode  55: no_progress | Steps:  500 | Distance:  0.79m | Reward:  -3.8 | Corridor: holes+100%bumps-random | Seed: 6607
Episode  56: fell      | Steps:  267 | Distance: -0.07m | Reward:  -9.0 | Corridor: holes+100%bumps-random | Seed: 5252
Episode  57: no_progress | Steps:  500 | Distance:  1.01m | Reward:  -2.7 | Corridor: holes+100%bumps-random | Seed: 1135
Episode  58: no_progress | Steps:  500 | Distance:  0.62m | Reward:  -4.6 | Corridor: holes+100%bumps-random | Seed: 2257
Episode  59: no_progress | Steps:  500 | Distance:  1.23m | Reward:  -1.6 | Corridor: holes+100%bumps-random | Seed: 1718
Episode  60: no_progress | Steps: 1000 | Distance:  1.56m | Reward:   0.1 | Corridor: holes+100%bumps-random | Seed: 3487
Episode  61: no_progress | Steps:  500 | Distance:  1.14m | Reward:  -2.1 | Corridor: holes+100%bumps-random | Seed: 6971
Episode  62: no_progress | Steps:  500 | Distance:  1.11m | Reward:  -2.2 | Corridor: holes+100%bumps-random | Seed: 932
Episode  63: no_progress | Steps:  500 | Distance:  1.23m | Reward:  -1.6 | Corridor: holes+100%bumps-random | Seed: 9396
Episode  64: no_progress | Steps:  500 | Distance:  1.22m | Reward:  -1.6 | Corridor: holes+100%bumps-random | Seed: 1171
Episode  65: no_progress | Steps:  500 | Distance:  1.18m | Reward:  -1.8 | Corridor: holes+100%bumps-random | Seed: 916
Episode  66: no_progress | Steps:  500 | Distance:  0.83m | Reward:  -3.6 | Corridor: holes+100%bumps-random | Seed: 9758
Episode  67: no_progress | Steps:  500 | Distance:  1.04m | Reward:  -2.6 | Corridor: holes+100%bumps-random | Seed: 4513
Episode  68: no_progress | Steps:  500 | Distance:  1.20m | Reward:  -1.8 | Corridor: holes+100%bumps-random | Seed: 2053
Episode  69: no_progress | Steps:  500 | Distance:  0.82m | Reward:  -3.6 | Corridor: holes+100%bumps-random | Seed: 2878
Episode  70: no_progress | Steps:  500 | Distance:  0.98m | Reward:  -2.9 | Corridor: holes+100%bumps-random | Seed: 9580
Episode  71: fell      | Steps:  203 | Distance: -0.05m | Reward:  -8.9 | Corridor: holes+100%bumps-random | Seed: 684
Episode  72: no_progress | Steps:  500 | Distance:  1.09m | Reward:  -2.3 | Corridor: holes+100%bumps-random | Seed: 6648
